unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1743811200,2025-04-05 00:00:00,BTC/USD,83852,83858,83736,83737,0.63044345,52791.443172650004
1743807600,2025-04-04 23:00:00,BTC/USD,84032,84074,83632,83851,46.08058288,3863902.9550708802
1743804000,2025-04-04 22:00:00,BTC/USD,84178,84249,83977,84030,3.72971122,313407.6338166
1743800400,2025-04-04 21:00:00,BTC/USD,84122,84419,83910,84151,41.45052355,3488103.00725605
1743796800,2025-04-04 20:00:00,BTC/USD,83974,84237,83448,84140,57.98566349,4878913.7260486
1743793200,2025-04-04 19:00:00,BTC/USD,83946,84428,83759,83998,20.51603439,1723305.85669122
1743789600,2025-04-04 18:00:00,BTC/USD,84468,84560,83715,83946,92.04611986,7726903.57776756
1743786000,2025-04-04 17:00:00,BTC/USD,83354,84588,82917,84401,79.04630800,6671587.441508
1743782400,2025-04-04 16:00:00,BTC/USD,82863,83530,82705,83344,100.01112069,8335326.84278736
1743778800,2025-04-04 15:00:00,BTC/USD,82524,83662,82418,82839,191.03749156,15825354.76333884
1743775200,2025-04-04 14:00:00,BTC/USD,83304,83462,81831,82564,239.51149025,19775026.681001
1743771600,2025-04-04 13:00:00,BTC/USD,82862,83440,82101,83326,213.22397853,17767101.23499078
1743768000,2025-04-04 12:00:00,BTC/USD,82654,83182,82185,82834,184.23955015,15261298.8971251
1743764400,2025-04-04 11:00:00,BTC/USD,82575,82757,81659,82677,174.81087170,14452838.4395409
1743760800,2025-04-04 10:00:00,BTC/USD,84584,84696,82422,82536,167.78786949,13848539.59622664
1743757200,2025-04-04 09:00:00,BTC/USD,84421,84708,84123,84628,32.21045434,2725906.32988552
1743753600,2025-04-04 08:00:00,BTC/USD,83988,84632,83988,84416,64.47684009,5442876.933037439
1743750000,2025-04-04 07:00:00,BTC/USD,83025,83993,83020,83984,59.39349021,4988102.88179664
1743746400,2025-04-04 06:00:00,BTC/USD,83176,83212,83006,83025,45.83666775,3805589.33994375
1743742800,2025-04-04 05:00:00,BTC/USD,82683,83177,82613,83176,9.53099548,792750.0800444799
1743739200,2025-04-04 04:00:00,BTC/USD,82781,82895,82595,82683,14.09518067,1165431.8233376099
1743735600,2025-04-04 03:00:00,BTC/USD,82881,83039,82664,82781,2.34833049,194397.14629268998
1743732000,2025-04-04 02:00:00,BTC/USD,82692,83141,82692,82880,52.59909170,4359412.7200960005
1743728400,2025-04-04 01:00:00,BTC/USD,83033,83302,82584,82672,64.76911399,5354592.19178128
1743724800,2025-04-04 00:00:00,BTC/USD,83182,83382,82973,83011,49.14534651,4079604.35914161
1743721200,2025-04-03 23:00:00,BTC/USD,82713,83289,82483,83132,44.69115876,3715265.41003632
1743717600,2025-04-03 22:00:00,BTC/USD,82687,82823,82563,82692,6.35482979,525493.58499468
1743714000,2025-04-03 21:00:00,BTC/USD,82344,82813,82295,82679,80.09116708,6621857.60300732
1743710400,2025-04-03 20:00:00,BTC/USD,81950,82382,81760,82317,15.68637958,1291255.70788686
1743706800,2025-04-03 19:00:00,BTC/USD,82066,82315,81785,81934,44.46996739,3643602.30813226
1743703200,2025-04-03 18:00:00,BTC/USD,81798,82275,81501,82067,74.98811456,6154049.59759552
1743699600,2025-04-03 17:00:00,BTC/USD,81800,82134,81582,81802,16.23694322,1328214.42928244
1743696000,2025-04-03 16:00:00,BTC/USD,82028,82394,81701,81785,103.48299413,8463356.674922049
1743692400,2025-04-03 15:00:00,BTC/USD,81505,82043,81200,82032,96.86721906,7946211.7139299195
1743688800,2025-04-03 14:00:00,BTC/USD,82305,82363,81284,81506,230.06266435,18751487.520511102
1743685200,2025-04-03 13:00:00,BTC/USD,81929,82764,81772,82334,372.31138266,30653885.37992844
1743681600,2025-04-03 12:00:00,BTC/USD,83032,83132,81827,81930,174.60082977,14305045.9830561
1743678000,2025-04-03 11:00:00,BTC/USD,83223,83343,83032,83095,16.05655061,1334219.0729379498
1743674400,2025-04-03 10:00:00,BTC/USD,83479,83729,83147,83227,56.47669570,4700385.9530239
1743670800,2025-04-03 09:00:00,BTC/USD,83693,83735,83438,83473,8.73428022,729076.5728040601
1743667200,2025-04-03 08:00:00,BTC/USD,83473,83753,83471,83693,23.46789955,1964098.91703815
1743663600,2025-04-03 07:00:00,BTC/USD,83049,83489,83012,83473,48.09339899,4014500.29389227
1743660000,2025-04-03 06:00:00,BTC/USD,83352,83411,83001,83034,40.21039535,3338829.9674919
1743656400,2025-04-03 05:00:00,BTC/USD,83558,83701,83352,83352,78.71687542,6561209.00000784
1743652800,2025-04-03 04:00:00,BTC/USD,83464,83733,83286,83556,7.91624248,661449.55665888
1743649200,2025-04-03 03:00:00,BTC/USD,83750,83759,83346,83526,10.44198733,872177.43372558
1743645600,2025-04-03 02:00:00,BTC/USD,83746,83876,83280,83751,41.48606063,3474499.06382313
1743642000,2025-04-03 01:00:00,BTC/USD,83218,83896,83095,83768,94.65530135,7929085.2834868
1743638400,2025-04-03 00:00:00,BTC/USD,82477,83372,82157,83209,91.35307021,7601397.61910389
1743634800,2025-04-02 23:00:00,BTC/USD,82795,82812,82321,82502,86.10595624,7103913.60171248
1743631200,2025-04-02 22:00:00,BTC/USD,84839,84839,82674,82789,267.09215451,22112292.37972839
1743627600,2025-04-02 21:00:00,BTC/USD,85740,85741,84192,84847,177.03608714,15020980.885567581
1743624000,2025-04-02 20:00:00,BTC/USD,86928,88563,85215,85612,582.85242560,49899161.860467196
1743620400,2025-04-02 19:00:00,BTC/USD,86311,87027,86191,86943,85.92771950,7470813.716488499
1743616800,2025-04-02 18:00:00,BTC/USD,86640,86744,86210,86286,21.08327839,1819191.75915954
1743613200,2025-04-02 17:00:00,BTC/USD,87082,87258,86359,86618,43.35040952,3754925.77180336
1743609600,2025-04-02 16:00:00,BTC/USD,86786,87225,86601,87042,108.27111475,9424134.3700695
1743606000,2025-04-02 15:00:00,BTC/USD,85852,87355,85852,86768,478.18170970,41490870.5872496
1743602400,2025-04-02 14:00:00,BTC/USD,85283,85963,85223,85876,75.09867204,6449173.560107039
1743598800,2025-04-02 13:00:00,BTC/USD,85039,86095,84520,85277,224.73087297,19164374.65426269
1743595200,2025-04-02 12:00:00,BTC/USD,84570,85039,84495,85039,44.24976405,3762955.68504795
1743591600,2025-04-02 11:00:00,BTC/USD,84888,84988,84562,84569,40.15047739,3395485.7223949097
1743588000,2025-04-02 10:00:00,BTC/USD,85038,85304,84866,84891,23.12033955,1962708.74473905
1743584400,2025-04-02 09:00:00,BTC/USD,84675,85397,84639,85025,50.45738989,4290139.57539725
1743580800,2025-04-02 08:00:00,BTC/USD,84440,84733,84268,84675,43.26217751,3663224.88065925
1743577200,2025-04-02 07:00:00,BTC/USD,84146,84458,84024,84441,87.42246980,7382040.7723818
1743573600,2025-04-02 06:00:00,BTC/USD,84125,84338,83944,84146,83.16708965,6998177.925688899
1743570000,2025-04-02 05:00:00,BTC/USD,84615,84615,84125,84125,41.07831748,3455713.4580050004
1743566400,2025-04-02 04:00:00,BTC/USD,84584,84732,81188,84615,177.04507388,14980668.926356198
1743562800,2025-04-02 03:00:00,BTC/USD,84739,84905,84540,84590,29.48345474,2494005.4364565997
1743559200,2025-04-02 02:00:00,BTC/USD,85174,85174,84676,84739,21.67890081,1837048.3757385898
1743555600,2025-04-02 01:00:00,BTC/USD,84978,85216,84886,85174,14.57819101,1241682.84108574
1743552000,2025-04-02 00:00:00,BTC/USD,85171,85262,84950,84979,56.22261735,4777741.79978565
1743548400,2025-04-01 23:00:00,BTC/USD,85121,85530,85002,85170,45.18339353,3848269.6269500996
1743544800,2025-04-01 22:00:00,BTC/USD,85237,85469,85121,85121,44.52038003,3789619.26853363
1743541200,2025-04-01 21:00:00,BTC/USD,85251,85458,85137,85278,47.27002683,4031093.3480087398
1743537600,2025-04-01 20:00:00,BTC/USD,84960,85328,84769,85270,49.75351463,4242482.1925001
1743534000,2025-04-01 19:00:00,BTC/USD,85105,85175,84826,84979,45.00452809,3824439.79256011
1743530400,2025-04-01 18:00:00,BTC/USD,85114,85179,84731,85091,21.11979582,1797104.54611962
1743526800,2025-04-01 17:00:00,BTC/USD,85117,85322,84915,85138,21.58199631,1837448.00184078
1743523200,2025-04-01 16:00:00,BTC/USD,85314,85493,84841,85130,102.00286704,8683504.0711152
1743519600,2025-04-01 15:00:00,BTC/USD,84213,85496,84175,85271,255.36053689,21774848.341147188
1743516000,2025-04-01 14:00:00,BTC/USD,83646,84317,82536,84202,294.55654298,24802250.03200196
1743512400,2025-04-01 13:00:00,BTC/USD,83619,83872,83413,83668,142.12334817,11891176.294687562
1743508800,2025-04-01 12:00:00,BTC/USD,83928,84136,83612,83612,32.24199059,2695817.31721108
1743505200,2025-04-01 11:00:00,BTC/USD,84180,84204,83833,83929,51.16832878,4294506.66617662
1743501600,2025-04-01 10:00:00,BTC/USD,84354,84490,84150,84187,47.76836318,4021475.19103466
1743498000,2025-04-01 09:00:00,BTC/USD,84143,84377,84112,84338,21.24503876,1791764.07894088
1743494400,2025-04-01 08:00:00,BTC/USD,83454,84203,83433,84111,101.70844603,8554799.10402933
1743490800,2025-04-01 07:00:00,BTC/USD,83446,83582,83381,83457,12.24909025,1022272.32499425
1743487200,2025-04-01 06:00:00,BTC/USD,82984,83482,82893,83437,62.81333873,5240956.54361501
1743483600,2025-04-01 05:00:00,BTC/USD,83041,83302,82984,82984,6.98139019,579343.68352696
1743480000,2025-04-01 04:00:00,BTC/USD,82933,83221,82879,83042,4.99404870,414715.79214539996
1743476400,2025-04-01 03:00:00,BTC/USD,83072,83212,82905,82932,11.51716917,955141.87360644
1743472800,2025-04-01 02:00:00,BTC/USD,82691,83072,82637,83072,39.28138319,3263183.06435968
1743469200,2025-04-01 01:00:00,BTC/USD,82637,82727,82449,82699,3.51761563,290903.29498537
1743465600,2025-04-01 00:00:00,BTC/USD,82537,82764,82417,82639,40.03926801,3308805.06907839
1743462000,2025-03-31 23:00:00,BTC/USD,82387,82826,82279,82538,17.72900366,1463316.50408908
1743458400,2025-03-31 22:00:00,BTC/USD,82538,82550,82251,82377,20.43835747,1683650.57330619
1743454800,2025-03-31 21:00:00,BTC/USD,82419,82721,82411,82538,238.84754369,19713998.56108522
1743451200,2025-03-31 20:00:00,BTC/USD,82409,82829,82352,82414,107.02469197,8820332.96401558
1743447600,2025-03-31 19:00:00,BTC/USD,83288,83425,82380,82422,183.55567040,15129025.4657088
1743444000,2025-03-31 18:00:00,BTC/USD,82675,83566,82675,83288,15.97300858,1330359.9386110401
