Strike,Bid,Ask,Last,% Change,Mid,Impl Vol,Open Int,Delta,Gamma,Theta,OTM %,Volume,Date,DTE
450,69.33,72.41,73.25,-26.20,70.87,38.25,1485,0.7876,0.0033,-0.1672,27.61,103,04/04/25,75
455,65.25,68.35,71.80,-23.20,66.80,37.54,2152,0.7720,0.0035,-0.1709,29.31,11,04/04/25,75
460,61.24,64.27,63.50,-27.19,62.76,36.85,879,0.7553,0.0037,-0.1744,31.11,14,04/04/25,75
465,57.30,60.42,59.11,-28.51,58.86,36.15,1589,0.7375,0.0039,-0.1778,32.99,8,04/04/25,75
470,53.44,56.55,58.31,-24.76,55.00,35.48,2388,0.7186,0.0041,-0.1806,35.00,4,04/04/25,75
475,49.67,52.67,55.85,-25.97,51.17,34.81,1787,0.6985,0.0043,-0.1830,37.10,6,04/04/25,75
480,45.96,49.02,47.00,-32.86,47.49,34.15,1279,0.6774,0.0046,-0.1850,39.30,45,04/04/25,75
485,43.52,44.23,47.67,-26.40,43.88,33.51,3499,0.6554,0.0048,-0.1863,41.61,75,04/04/25,75
490,40.54,40.87,43.82,-33.44,40.70,32.86,2191,0.6318,0.0050,-0.1870,44.01,57,04/04/25,75
495,37.18,37.51,36.87,-39.91,37.34,32.21,423,0.6067,0.0052,-0.1872,46.51,674,04/04/25,75
500,33.94,34.25,33.70,-34.88,34.10,31.58,5531,0.5812,0.0054,-0.1863,49.10,3124,04/04/25,75
505,30.81,31.14,30.80,-41.02,30.98,30.93,901,0.5537,0.0055,-0.1846,51.78,1421,04/04/25,75
510,27.81,28.08,27.54,-38.24,27.94,30.29,6098,0.5254,0.0057,-0.1822,54.53,1751,04/04/25,75
515,24.95,25.27,24.68,-43.24,25.11,29.65,1447,0.4963,0.0058,-0.1785,57.35,7033,04/04/25,75
520,22.22,22.47,22.05,-40.41,22.34,29.02,1988,0.4660,0.0059,-0.1742,60.24,2524,04/04/25,75
525,19.65,19.92,19.10,-43.84,19.78,28.40,3281,0.4357,0.0060,-0.1688,63.16,2439,04/04/25,75
530,17.24,17.50,17.14,-42.29,17.37,27.77,3676,0.4036,0.0060,-0.1622,66.12,2128,04/04/25,75
535,15.00,15.30,14.68,-45.63,15.15,27.17,1423,0.3716,0.0060,-0.1549,69.07,1412,04/04/25,75
540,12.94,13.20,12.80,-45.88,13.07,26.59,7876,0.3395,0.0060,-0.1466,71.99,1914,04/04/25,75
545,11.07,11.33,10.99,-46.91,11.20,26.03,3559,0.3076,0.0058,-0.1377,74.86,3083,04/04/25,75
550,9.39,9.58,9.39,-47.45,9.48,25.50,7650,0.2765,0.0057,-0.1282,77.64,5489,04/04/25,75
555,7.90,8.11,7.78,-49.25,8.00,25.00,15143,0.2461,0.0055,-0.1183,80.30,1780,04/04/25,75
560,6.58,6.78,6.77,-47.23,6.68,24.54,11592,0.2174,0.0052,-0.1082,82.80,3015,04/04/25,75
565,5.44,5.64,5.41,-49.81,5.54,24.13,8355,0.1903,0.0049,-0.0981,85.11,1708,04/04/25,75
570,4.45,4.63,4.40,-49.94,4.54,23.75,16815,0.1652,0.0045,-0.0882,87.23,12668,04/04/25,75
575,3.61,3.79,3.65,-47.48,3.70,23.41,17839,0.1422,0.0041,-0.0785,89.14,2485,04/04/25,75
580,2.91,3.09,3.02,-45.49,3.00,23.10,27058,0.1212,0.0038,-0.0693,90.85,5487,04/04/25,75
585,2.33,2.50,2.48,-42.46,2.42,22.82,13304,0.1028,0.0034,-0.0607,92.35,2068,04/04/25,75
590,1.86,1.95,1.90,-43.28,1.90,22.57,26957,0.0861,0.0030,-0.0526,93.65,6802,04/04/25,75
595,1.48,1.62,1.47,-42.35,1.55,22.35,14455,0.0721,0.0027,-0.0454,94.77,2450,04/04/25,75
600,1.20,1.29,1.21,-36.98,1.24,22.16,32571,0.0596,0.0023,-0.0388,95.72,13173,04/04/25,75
605,0.93,1.04,0.96,-33.33,0.98,22.01,48497,0.0495,0.0020,-0.0331,96.50,3405,04/04/25,75
610,0.74,0.84,0.84,-20.00,0.79,21.90,36266,0.0407,0.0017,-0.0281,97.15,2518,04/04/25,75
615,0.60,0.69,0.63,-20.25,0.64,21.83,15788,0.0337,0.0015,-0.0239,97.68,1766,04/04/25,75
620,0.48,0.57,0.54,-6.90,0.52,21.80,20880,0.0277,0.0013,-0.0202,98.10,1864,04/04/25,75
625,0.39,0.47,0.44,+4.76,0.43,21.80,24670,0.0231,0.0011,-0.0173,98.45,684,04/04/25,75
630,0.32,0.39,0.34,+9.68,0.36,21.84,15666,0.0192,0.0009,-0.0148,98.72,261,04/04/25,75
635,0.26,0.34,0.35,+52.17,0.30,21.92,18071,0.0162,0.0008,-0.0128,98.94,241,04/04/25,75
640,0.22,0.26,0.15,-16.67,0.24,22.02,29961,0.0137,0.0007,-0.0111,99.11,455,04/04/25,75
645,0.18,0.22,0.12,-14.29,0.20,22.15,15106,0.0115,0.0006,-0.0096,99.26,109,04/04/25,75
650,0.14,0.15,0.15,+25.00,0.14,22.31,31701,0.0099,0.0005,-0.0084,99.37,2114,04/04/25,75
655,0.12,0.20,0.09,-10.00,0.16,22.48,11967,0.0085,0.0004,-0.0075,99.46,60,04/04/25,75
660,0.10,0.18,0.08,-11.11,0.14,22.68,7201,0.0073,0.0004,-0.0066,99.54,129,04/04/25,75
665,0.08,0.12,0.11,+83.33,0.10,22.89,2347,0.0064,0.0003,-0.0059,99.60,69,04/04/25,75
670,0.07,0.14,0.11,+120.00,0.10,23.12,4623,0.0057,0.0003,-0.0053,99.65,167,04/04/25,75
675,0.06,0.11,0.34,+385.71,0.08,23.35,7236,0.0050,0.0003,-0.0048,99.69,168,04/04/25,75
680,0.05,0.12,0.06,+20.00,0.08,23.60,3231,0.0044,0.0002,-0.0043,99.73,77,04/04/25,75
685,0.04,0.11,0.06,+50.00,0.08,23.86,3989,0.0040,0.0002,-0.0040,99.76,74,04/04/25,75
