Strike,Bid,Ask,Last,% Change,Mid,Impl Vol,Open Int,Delta,Gamma,Theta,OTM %,Volume,Date,DTE
150,0.09,0.15,0.15,+275.00,0.12,98.76,52937,-0.0018,0.0000,-0.0080,99.34,12462,04/04/25,75
155,0.11,0.15,0.14,+180.00,0.13,97.52,10117,-0.0020,0.0000,-0.0090,99.27,6359,04/04/25,75
160,0.12,0.19,0.12,+140.00,0.16,96.30,7640,-0.0023,0.0000,-0.0100,99.19,2478,04/04/25,75
165,0.14,0.21,0.15,+114.29,0.18,95.10,4253,-0.0026,0.0000,-0.0111,99.11,1503,04/04/25,75
170,0.17,0.23,0.22,+175.00,0.20,93.92,12873,-0.0030,0.0000,-0.0122,99.02,2836,04/04/25,75
175,0.20,0.26,0.24,+242.86,0.23,92.75,6381,-0.0034,0.0000,-0.0135,98.93,1814,04/04/25,75
180,0.23,0.29,0.21,+133.33,0.26,91.60,4844,-0.0038,0.0001,-0.0148,98.83,1505,04/04/25,75
185,0.26,0.32,0.33,+266.67,0.29,90.46,4829,-0.0042,0.0001,-0.0161,98.73,2306,04/04/25,75
190,0.29,0.36,0.36,+300.00,0.32,89.33,1850,-0.0047,0.0001,-0.0176,98.62,662,04/04/25,75
195,0.33,0.38,0.28,+154.55,0.36,88.21,5342,-0.0052,0.0001,-0.0191,98.51,1387,04/04/25,75
200,0.36,0.43,0.39,+178.57,0.40,87.09,8409,-0.0058,0.0001,-0.0206,98.39,1055,04/04/25,75
205,0.40,0.47,0.30,+100.00,0.44,85.98,928,-0.0064,0.0001,-0.0223,98.26,35,04/04/25,75
210,0.45,0.51,0.48,+242.86,0.48,84.87,3680,-0.0070,0.0001,-0.0240,98.13,240,04/04/25,75
215,0.49,0.56,0.51,+183.33,0.52,83.77,2344,-0.0077,0.0001,-0.0257,97.99,316,04/04/25,75
220,0.54,0.61,0.47,+147.37,0.58,82.67,1455,-0.0085,0.0001,-0.0276,97.85,512,04/04/25,75
225,0.60,0.66,0.66,+200.00,0.63,81.57,8539,-0.0092,0.0001,-0.0294,97.70,394,04/04/25,75
230,0.65,0.71,0.61,+205.00,0.68,80.47,851,-0.0101,0.0001,-0.0313,97.55,26,04/04/25,75
235,0.71,0.77,0.63,+142.31,0.74,79.37,5547,-0.0110,0.0002,-0.0333,97.39,90,04/04/25,75
240,0.77,0.83,0.78,+151.61,0.80,78.28,4811,-0.0119,0.0002,-0.0353,97.22,352,04/04/25,75
245,0.83,0.90,0.68,+161.54,0.86,77.19,1652,-0.0129,0.0002,-0.0374,97.05,139,04/04/25,75
250,0.90,0.97,0.81,+138.24,0.94,76.10,5440,-0.0140,0.0002,-0.0395,96.87,1466,04/04/25,75
255,0.97,1.04,0.80,+175.86,1.00,75.01,1092,-0.0151,0.0002,-0.0417,96.68,29,04/04/25,75
260,1.04,1.11,1.04,+166.67,1.08,73.92,1900,-0.0163,0.0002,-0.0439,96.49,156,04/04/25,75
265,1.12,1.19,1.08,+145.45,1.16,72.84,911,-0.0176,0.0003,-0.0461,96.29,29,04/04/25,75
270,1.20,1.27,1.15,+150.00,1.24,71.75,6731,-0.0189,0.0003,-0.0484,96.08,1314,04/04/25,75
275,1.29,1.36,1.25,+155.10,1.32,70.67,11470,-0.0203,0.0003,-0.0508,95.86,74,04/04/25,75
280,1.38,1.45,1.25,+145.10,1.42,69.60,2932,-0.0218,0.0003,-0.0531,95.64,2828,04/04/25,75
285,1.47,1.54,1.44,+193.88,1.50,68.52,4067,-0.0234,0.0003,-0.0555,95.40,3387,04/04/25,75
290,1.56,1.64,1.27,+149.02,1.60,67.46,5744,-0.0251,0.0004,-0.0580,95.15,22,04/04/25,75
295,1.66,1.74,1.72,+168.75,1.70,66.39,1193,-0.0269,0.0004,-0.0605,94.90,217,04/04/25,75
300,1.77,1.85,1.76,+170.77,1.81,65.33,8974,-0.0287,0.0004,-0.0630,94.63,719,04/04/25,75
305,1.88,1.96,1.60,+125.35,1.92,64.27,5552,-0.0308,0.0005,-0.0656,94.36,26,04/04/25,75
310,1.99,2.08,1.82,+167.65,2.04,63.22,7939,-0.0329,0.0005,-0.0683,94.06,122,04/04/25,75
315,2.11,2.20,2.02,+180.56,2.16,62.18,1993,-0.0351,0.0005,-0.0710,93.76,23,04/04/25,75
320,2.24,2.33,2.18,+165.85,2.28,61.14,7063,-0.0375,0.0006,-0.0737,93.44,157,04/04/25,75
325,2.37,2.47,2.27,+206.76,2.42,60.11,2119,-0.0401,0.0006,-0.0765,93.10,185,04/04/25,75
330,2.51,2.60,2.54,+182.22,2.56,59.10,8439,-0.0428,0.0007,-0.0794,92.74,1304,04/04/25,75
335,2.66,2.77,2.14,+118.37,2.72,58.09,3940,-0.0457,0.0007,-0.0823,92.36,165,04/04/25,75
340,2.82,2.93,2.73,+165.05,2.88,57.08,7962,-0.0488,0.0008,-0.0853,91.97,368,04/04/25,75
345,2.99,3.10,2.74,+176.77,3.04,56.09,21759,-0.0521,0.0008,-0.0884,91.54,69,04/04/25,75
350,3.17,3.29,3.01,+168.75,3.23,55.13,13206,-0.0556,0.0009,-0.0916,91.09,1382,04/04/25,75
355,3.37,3.49,3.15,+176.32,3.43,54.15,14253,-0.0594,0.0009,-0.0948,90.62,224,04/04/25,75
360,3.58,3.70,3.33,+179.83,3.64,53.19,7840,-0.0635,0.0010,-0.0982,90.12,302,04/04/25,75
365,3.80,3.93,3.60,+190.32,3.86,52.23,1699,-0.0679,0.0011,-0.1016,89.59,110,04/04/25,75
370,4.04,4.18,3.93,+200.00,4.11,51.30,2367,-0.0726,0.0012,-0.1051,89.02,156,04/04/25,75
375,4.30,4.44,4.08,+179.45,4.37,50.40,8833,-0.0776,0.0012,-0.1087,88.40,612,04/04/25,75
380,4.58,4.72,3.83,+155.33,4.65,49.49,3375,-0.0830,0.0013,-0.1124,87.75,701,04/04/25,75
385,4.88,5.03,5.04,+240.54,4.96,48.60,14579,-0.0888,0.0014,-0.1162,87.06,579,04/04/25,75
390,5.20,5.35,5.24,+249.33,5.28,47.72,3949,-0.0950,0.0015,-0.1201,86.32,233,04/04/25,75
395,5.54,5.71,4.46,+168.67,5.62,46.86,1294,-0.1018,0.0016,-0.1240,85.52,72,04/04/25,75
400,5.92,6.09,5.94,204.62,6.00,46.01,17222,-0.1090,0.0018,-0.1281,84.68,2252,04/04/25,75
405,6.32,6.50,6.16,201.96,6.41,45.17,3164,-0.1168,0.0019,-0.1322,83.78,168,04/04/25,75
410,6.76,6.95,6.41,192.69,6.86,44.34,7524,-0.1252,0.0020,-0.1364,82.82,402,04/04/25,75
415,7.24,7.43,6.30,169.23,7.34,43.54,10309,-0.1342,0.0021,-0.1406,81.78,258,04/04/25,75
420,7.75,7.94,7.94,213.83,7.84,42.74,9173,-0.1439,0.0023,-0.1449,80.69,3084,04/04/25,75
425,8.30,8.51,8.30,204.03,8.40,41.97,4834,-0.1542,0.0024,-0.1491,79.50,1176,04/04/25,75
430,8.90,9.11,9.03,210.31,9.00,41.18,4044,-0.1658,0.0026,-0.1534,78.27,1459,04/04/25,75
435,9.55,9.76,9.51,199.06,9.66,40.42,3516,-0.1778,0.0028,-0.1576,76.94,562,04/04/25,75
440,10.24,10.48,10.23,196.52,10.36,39.68,6427,-0.1908,0.0030,-0.1618,75.51,16448,04/04/25,75
