Strike,Bid,Ask,Last,% Change,Mid,Impl Vol,Open Int,Delta,Gamma,Theta,OTM %,Volume,Date,DTE
515,20.79,21.11,20.40,-24.44,20.95,32.16,0,0.4774,0.0067,-0.2424,58.11,231,04/04/25,47
520,18.12,18.44,17.90,-28.11,18.28,31.36,0,0.4425,0.0068,-0.2343,61.49,238,04/04/25,47
525,15.65,15.96,15.78,-31.95,15.80,30.58,0,0.4067,0.0068,-0.2244,64.91,173,04/04/25,47
527,14.71,15.02,14.80,-21.28,14.86,30.27,0,0.3921,0.0068,-0.2200,66.29,20,04/04/25,47
529,13.81,14.11,15.10,-2.39,13.96,29.97,0,0.3776,0.0068,-0.2153,67.66,39,04/04/25,47
530,13.37,13.67,14.37,-28.33,13.52,29.83,0,0.3703,0.0068,-0.2129,68.35,136,04/04/25,47
531,12.94,13.22,18.04,+0.17,13.08,29.68,0,0.3629,0.0068,-0.2104,69.03,24,04/04/25,47
532,12.52,12.81,14.51,-9.31,12.66,29.53,0,0.3556,0.0068,-0.2079,69.72,2,04/04/25,47
535,11.31,11.59,11.20,-26.94,11.45,29.10,0,0.3337,0.0067,-0.2000,71.76,84,04/04/25,47
537,10.54,10.82,12.51,-7.13,10.68,28.83,0,0.3192,0.0067,-0.1944,73.10,6,04/04/25,47
538,10.17,10.43,12.88,+2.63,10.30,28.69,0,0.3120,0.0066,-0.1916,73.77,7,04/04/25,47
540,9.46,9.71,9.00,-33.82,9.58,28.43,0,0.2976,0.0066,-0.1858,75.08,166,04/04/25,47
541,9.11,9.37,10.58,-21.46,9.24,28.30,0,0.2905,0.0065,-0.1829,75.73,40,04/04/25,47
542,8.78,9.03,11.53,-9.43,8.90,28.17,0,0.2834,0.0065,-0.1799,76.38,136,04/04/25,47
543,8.45,8.70,9.50,+7.22,8.58,28.04,0,0.2764,0.0064,-0.1769,77.02,21,04/04/25,47
544,8.13,8.38,10.04,-8.89,8.26,27.92,0,0.2694,0.0064,-0.1738,77.65,61,04/04/25,47
545,7.82,8.07,9.05,-19.12,7.94,27.80,0,0.2625,0.0063,-0.1708,78.27,93,04/04/25,47
546,7.52,7.76,8.82,-13.10,7.64,27.68,0,0.2557,0.0063,-0.1677,78.89,4,04/04/25,47
547,7.22,7.47,8.68,-5.75,7.34,27.56,0,0.2489,0.0062,-0.1646,79.50,66,04/04/25,47
548,6.94,7.18,7.49,-19.64,7.06,27.45,0,0.2422,0.0061,-0.1615,80.10,9,04/04/25,47
549,6.66,6.90,7.16,-15.76,6.78,27.34,0,0.2356,0.0061,-0.1583,80.69,72,04/04/25,47
550,6.39,6.63,6.43,-54.01,6.51,27.23,90,0.2290,0.0060,-0.1552,81.28,236,04/04/25,47
551,6.13,6.38,7.76,-41.57,6.26,27.12,23,0.2225,0.0059,-0.1520,81.86,19,04/04/25,47
552,5.88,6.14,6.61,-55.00,6.01,27.01,50,0.2161,0.0058,-0.1489,82.43,59,04/04/25,47
553,5.63,5.88,6.04,-51.80,5.76,26.91,6,0.2098,0.0058,-0.1457,82.98,23,04/04/25,47
554,5.40,5.63,5.95,-50.00,5.52,26.81,18,0.2036,0.0057,-0.1426,83.53,23,04/04/25,47
555,5.17,5.40,6.28,-44.18,5.28,26.71,44,0.1975,0.0056,-0.1394,84.06,42,04/04/25,47
556,4.95,5.18,5.44,-50.86,5.06,26.61,11,0.1915,0.0055,-0.1363,84.59,11,04/04/25,47
557,4.73,4.95,4.98,-60.57,4.84,26.51,2,0.1856,0.0054,-0.1331,85.11,9,04/04/25,47
558,4.53,4.74,4.49,-55.98,4.64,26.42,3,0.1798,0.0053,-0.1300,85.61,24,04/04/25,47
559,4.33,4.54,5.24,-54.94,4.44,26.33,1,0.1740,0.0053,-0.1269,86.11,62,04/04/25,47
560,4.13,4.34,4.77,-48.60,4.24,26.24,30,0.1684,0.0052,-0.1238,86.59,118,04/04/25,47
561,3.95,4.15,4.87,-45.65,4.05,26.15,15,0.1629,0.0051,-0.1207,87.07,37,04/04/25,47
