Strike,Bid,Ask,Last,% Change,Mid,Impl Vol,Open Int,Delta,Gamma,Theta,OTM %,Volume,Date,DTE
400,4.34,4.50,3.93,+65.82,4.42,52.56,0,-0.0922,0.0017,-0.1629,87.30,230,04/04/25,47
405,4.68,4.84,3.22,+9.15,4.76,51.55,0,-0.0995,0.0018,-0.1693,86.44,13,04/04/25,47
410,5.04,5.15,5.15,+83.27,5.10,50.56,0,-0.1076,0.0020,-0.1758,85.51,20,04/04/25,47
415,5.43,5.61,5.00,+26.90,5.52,49.58,0,-0.1163,0.0021,-0.1824,84.52,14,04/04/25,47
420,5.86,6.05,4.20,+37.70,5.96,48.62,0,-0.1258,0.0023,-0.1892,83.44,37,04/04/25,47
425,6.33,6.53,5.64,+59.77,6.43,47.67,0,-0.1360,0.0025,-0.1961,82.27,22,04/04/25,47
430,6.83,7.05,6.48,+61.19,6.94,46.73,0,-0.1471,0.0027,-0.2029,81.03,246,04/04/25,47
435,7.41,7.62,5.24,+29.38,7.52,45.80,0,-0.1592,0.0029,-0.2098,79.69,124,04/04/25,47
440,8.03,8.25,7.59,+47.95,8.14,44.89,0,-0.1723,0.0031,-0.2166,78.25,632,04/04/25,47
445,8.71,8.94,6.22,+12.68,8.82,43.99,0,-0.1864,0.0033,-0.2233,76.70,23,04/04/25,47
450,9.43,9.68,9.66,+68.29,9.56,43.10,0,-0.2017,0.0035,-0.2298,75.04,358,04/04/25,47
455,10.24,10.50,9.17,+40.86,10.37,42.21,0,-0.2184,0.0038,-0.2361,73.27,21,04/04/25,47
460,11.11,11.38,10.75,+69.03,11.24,41.34,0,-0.2362,0.0040,-0.2420,71.38,43,04/04/25,47
465,12.07,12.34,9.85,+46.36,12.20,40.48,0,-0.2554,0.0043,-0.2475,69.36,56,04/04/25,47
470,13.10,13.39,11.93,+34.65,13.24,39.62,0,-0.2760,0.0046,-0.2523,67.21,92,04/04/25,47
475,14.24,14.53,11.25,+21.89,14.38,38.78,0,-0.2981,0.0049,-0.2565,64.92,43,04/04/25,47
480,15.46,15.77,14.87,+63.05,15.62,37.95,0,-0.3213,0.0051,-0.2599,62.49,57,04/04/25,47
485,16.81,17.12,14.22,+26.96,16.96,37.11,0,-0.3465,0.0054,-0.2623,59.94,59,04/04/25,47
490,18.27,18.59,16.27,+59.51,18.43,36.28,0,-0.3733,0.0057,-0.2637,57.25,254,04/04/25,47
495,19.85,20.18,19.30,+49.61,20.02,35.44,0,-0.4023,0.0060,-0.2637,54.42,98,04/04/25,47
500,21.58,21.91,22.07,+76.42,21.74,34.61,0,-0.4325,0.0062,-0.2626,51.46,255,04/04/25,47
505,23.45,23.82,22.74,+47.95,23.64,33.79,0,-0.4643,0.0065,-0.2598,48.38,80,04/04/25,47
510,25.48,25.83,25.91,+54.69,25.66,32.97,0,-0.4978,0.0067,-0.2556,45.18,211,04/04/25,47
515,27.68,28.04,27.20,+49.20,27.86,32.16,0,-0.5328,0.0069,-0.2497,41.89,170,04/04/25,47
520,30.06,30.42,29.97,+57.32,30.24,31.36,0,-0.5692,0.0070,-0.2421,38.51,156,04/04/25,47
525,31.23,34.41,29.35,+38.90,32.82,30.58,0,-0.6066,0.0071,-0.2330,35.09,40,04/04/25,47
