Feature,Importance
returns_lag_36,0.13973182
volume_lag_38,0.11182229
volume_lag_48,0.10368207
close_lag_24,0.0828666
returns_lag_50,0.07548452
volume_lag_44,0.075217195
returns_lag_45,0.07154754
close_lag_43,0.06515479
returns_lag_19,0.054495282
volume_lag_2,0.05343049
volume_lag_46,0.049738847
volume_lag_30,0.036995865
volume_lag_6,0.026205804
returns_lag_26,0.014396065
close_lag_2,0.011248398
returns_lag_22,0.010444313
volume_ma5,0.010115484
returns_lag_59,0.0074226093
volume_lag_40,0.0
volume_lag_39,0.0
close_lag_40,0.0
close_lag_44,0.0
returns_lag_40,0.0
returns_lag_41,0.0
close_lag_41,0.0
volume_lag_43,0.0
returns_lag_43,0.0
volume_lag_41,0.0
close_lag_42,0.0
returns_lag_42,0.0
volume_lag_42,0.0
returns_lag_39,0.0
ma5,0.0
close_lag_39,0.0
volume_lag_34,0.0
close_lag_32,0.0
returns_lag_32,0.0
volume_lag_32,0.0
close_lag_33,0.0
returns_lag_33,0.0
volume_lag_33,0.0
close_lag_34,0.0
returns_lag_34,0.0
close_lag_35,0.0
returns_lag_38,0.0
returns_lag_35,0.0
volume_lag_35,0.0
close_lag_36,0.0
volume_lag_36,0.0
close_lag_37,0.0
returns_lag_37,0.0
volume_lag_37,0.0
close_lag_38,0.0
returns_lag_44,0.0
returns_lag_46,0.0
close_lag_45,0.0
volume_lag_45,0.0
returns_lag_54,0.0
volume_lag_54,0.0
close_lag_55,0.0
returns_lag_55,0.0
volume_lag_55,0.0
close_lag_56,0.0
returns_lag_56,0.0
volume_lag_56,0.0
close_lag_57,0.0
returns_lag_57,0.0
volume_lag_57,0.0
close_lag_58,0.0
returns_lag_58,0.0
volume_lag_58,0.0
close_lag_59,0.0
volume_lag_59,0.0
close_lag_60,0.0
returns_lag_60,0.0
volume_lag_60,0.0
close_lag_54,0.0
volume_lag_53,0.0
returns_lag_53,0.0
returns_lag_49,0.0
close_lag_46,0.0
returns_lag_31,0.0
close_lag_47,0.0
returns_lag_47,0.0
volume_lag_47,0.0
close_lag_48,0.0
returns_lag_48,0.0
close_lag_49,0.0
volume_lag_49,0.0
close_lag_53,0.0
close_lag_50,0.0
volume_lag_50,0.0
close_lag_51,0.0
returns_lag_51,0.0
volume_lag_51,0.0
close_lag_52,0.0
returns_lag_52,0.0
volume_lag_52,0.0
volume_lag_31,0.0
volume_lag_29,0.0
close_lag_31,0.0
returns_lag_14,0.0
volume_lag_7,0.0
close_lag_8,0.0
returns_lag_8,0.0
volume_lag_8,0.0
close_lag_9,0.0
returns_lag_9,0.0
volume_lag_9,0.0
close_lag_10,0.0
returns_lag_10,0.0
volume_lag_10,0.0
close_lag_11,0.0
returns_lag_11,0.0
volume_lag_11,0.0
close_lag_12,0.0
returns_lag_12,0.0
volume_lag_12,0.0
close_lag_13,0.0
returns_lag_13,0.0
volume_lag_13,0.0
returns_lag_7,0.0
close_lag_7,0.0
returns_lag_6,0.0
returns_lag_2,0.0
ma20,0.0
momentum,0.0
volatility,0.0
volume_change,0.0
price_range,0.0
close_lag_1,0.0
returns_lag_1,0.0
volume_lag_1,0.0
close_lag_3,0.0
close_lag_6,0.0
returns_lag_3,0.0
volume_lag_3,0.0
close_lag_4,0.0
returns_lag_4,0.0
volume_lag_4,0.0
close_lag_5,0.0
returns_lag_5,0.0
volume_lag_5,0.0
close_lag_14,0.0
volume_lag_14,0.0
returns_lag_30,0.0
close_lag_15,0.0
returns_lag_23,0.0
volume_lag_23,0.0
returns_lag_24,0.0
volume_lag_24,0.0
close_lag_25,0.0
returns_lag_25,0.0
volume_lag_25,0.0
close_lag_26,0.0
volume_lag_26,0.0
close_lag_27,0.0
returns_lag_27,0.0
volume_lag_27,0.0
close_lag_28,0.0
returns_lag_28,0.0
volume_lag_28,0.0
close_lag_29,0.0
returns_lag_29,0.0
ma10,0.0
close_lag_30,0.0
close_lag_23,0.0
volume_lag_22,0.0
close_lag_22,0.0
close_lag_18,0.0
returns_lag_15,0.0
volume_lag_15,0.0
close_lag_16,0.0
returns_lag_16,0.0
volume_lag_16,0.0
close_lag_17,0.0
returns_lag_17,0.0
volume_lag_17,0.0
returns_lag_18,0.0
volume_lag_21,0.0
volume_lag_18,0.0
close_lag_19,0.0
volume_lag_19,0.0
close_lag_20,0.0
returns_lag_20,0.0
volume_lag_20,0.0
close_lag_21,0.0
returns_lag_21,0.0
returns,0.0
